# IndicPositionalCategory-17.0.0.txt
# Date: 2025-07-29, 13:35:52 GMT
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see https://www.unicode.org/reports/tr44/
#
# This file defines the following property:
#
#    Indic_Positional_Category     enumerated property
#
# Scope: This property is aimed at the problem of
# the specification of syllabic structure for Indic scripts.
# Because dependent vowels (matras), visible viramas, and other
# characters are placed in notional slots around the consonant (or
# consonant cluster) core of an Indic syllable, there may be
# cooccurrence constraints or other interactions. Also, it may be
# desirable, in cases where more than one such character may occur in
# sequence, as for example, in a top slot and a bottom slot, to
# specify preferred orders for spelling. As such, this property
# is designed primarily to supplement the Indic_Syllabic_Category
# property.
#
# In addition to combining marks associated with Indic scripts, the
# Indic_Positional_Category has non-trivial values for special signs
# associated with Indic_Syllabic_Category=Consonant_Prefixed
# or Indic_Syllabic_Category=Consonant_Preceding_Repha. Those signs
# have General_Category=Lo, rather than being combining marks.
# They occur in initial position in syllabic structure. However, when
# rendered, they appear as marks positioned with respect to another
# base letter (usually above it). Hence, having an explicit value for
# Indic_Positional_Category for those signs can be helpful.
#
# Note that this property is *not* intended as
# a prescriptive property regarding display or font design,
# for a number of reasons. Good font design requires information
# that is outside the context of a character encoding standard,
# and is best handled in other venues. For Indic dependent
# vowels and similar characters, in particular:
#
#   1. Matra placement may vary somewhat based on typeface design.
#   2. Matra placement, even within a single script, may vary
#      somewhat according to historic period or local conventions.
#   3. Matra placement may be changed by explicit orthographic reform
#      decisions.
#   4. Matras may ligate in various ways with a consonant (or even
#      other elements of a syllable) instead of occurring in a
#      discrete location.
#   5. Matra display may be contextually determined. This is
#      notable, for example, in the Tamil script, where the shape
#      and placement of -u and -uu vowels depends strongly on
#      which consonant they adjoin.
#
# Format:
#    Field 0  Unicode code point value or range of code point values
#    Field 1  Indic_Positional_Category property value
#
# Field 1 is followed by a comment field, starting with the number sign '#',
# which shows the General_Category property value, the Unicode character name
# or names, and, in lines with ranges of code points, the code point count in
# square brackets.
#
# The scripts assessed as containing dependent vowels or similar characters
# in the structural sense used for the Indic_Positional_Category are the
# following:
#
# Ahom, Balinese, Batak, Bengali, Bhaiksuki, Brahmi, Buginese, Buhid,
# Chakma, Cham, Devanagari, Dives Akuru, Dogra, Grantha, Gujarati,
# Gunjala Gondi, Gurmukhi, Gurung Khema, Hanunoo, Javanese, Kaithi,
# Kannada, Kawi, Kayah Li, Kharoshthi, Khmer, Khojki, Khudawadi,
# Kirat Rai, Lao, Lepcha, Limbu, Makasar, Malayalam, Marchen,
# Masaram Gondi, Meetei Mayek, Modi, Myanmar, Nandinagari, Newa,
# New Tai Lue, Oriya, Rejang, Saurashtra, Sharada, Siddham, Sinhala,
# Soyombo, Sundanese, Syloti Nagri, Tagalog, Tagbanwa, Tai Tham,
# Tai Viet, Takri, Tamil, Telugu, Thai, Tibetan, Tirhuta,
# Tulu-Tigalari, and Zanabazar Square.
#
# All characters for all other scripts not in that list
# take the default value for this property.
#
# See IndicSyllabicCategory.txt for a slightly more extended
# list of Indic scripts, including those which do not have
# positional characters. Currently, those additional
# Indic scripts without positional characters are
# Multani, Phags-pa, and Tai Le.
#
# Notes:
#
# 1. The following characters are all assigned the positional category Right,
# but may have different positions in some cases:
#   * U+0BC1 TAMIL VOWEL SIGN U and U+0BC2 TAMIL VOWEL SIGN UU have
#     contextually variable placement in Tamil.
#   * U+11341 GRANTHA VOWEL SIGN U and U+11342 GRANTHA VOWEL SIGN UU have
#     contextually variable placement in Grantha.
#   * U+11440 NEWA VOWEL SIGN O and U+11441 NEWA VOWEL SIGN AU have contextually
#     variable placement in Newa.
#
# 2. The following characters are all assigned the positional category Top,
# but may have different positions in some cases:
#   * U+1143E NEWA VOWEL SIGN E and U+1143F NEWA VOWEL SIGN AI have contextually
#     variable placement in Newa.
#
# 3. The following characters are all assigned the positional category Bottom,
# but may have different positions in some cases:
#   * U+0D41 MALAYALAM VOWEL SIGN U and U+0D42 MALAYALAM VOWEL SIGN UU form
#     complex ligatures with consonants in older Malayalam orthography, and
#     are spacing marks to the right of the base in reformed Malayalam
#     orthography.
#   * U+102F MYANMAR VOWEL SIGN U and U+1030 MYANMAR VOWEL SIGN UU have
#     contextually variable placement in Myanmar.
#   * U+1A69 TAI THAM VOWEL SIGN U and U+1A6A TAI THAM VOWEL SIGN UU have
#     contextually variable placement in Tai Tham.
#   * U+113BB TULU-TIGALARI VOWEL SIGN U and
#     U+113BC TULU-TIGALARI VOWEL SIGN UU form complex ligatures with
#     consonants.
#
# 4. The following character is assigned the positional category Left, but
# may have different positions in different styles:
#   * U+119D2 NANDINAGARI VOWEL SIGN I has stylistically variable placement
#     in Nandinagari.


# ================================================

# Property: Indic_Positional_Category
#
#  All code points not explicitly listed for Indic_Positional_Category
#  have the value Not_Applicable (NA).
#
# @missing: 0000..10FFFF; Not_Applicable

# ------------------------------------------------

# Indic_Positional_Category=Right

0903          ; Right # Mc       DEVANAGARI SIGN VISARGA
093B          ; Right # Mc       DEVANAGARI VOWEL SIGN OOE
093E          ; Right # Mc       DEVANAGARI VOWEL SIGN AA
0940          ; Right # Mc       DEVANAGARI VOWEL SIGN II
0949..094C    ; Right # Mc   [4] DEVANAGARI VOWEL SIGN CANDRA O..DEVANAGARI VOWEL SIGN AU
094F          ; Right # Mc       DEVANAGARI VOWEL SIGN AW
0982..0983    ; Right # Mc   [2] BENGALI SIGN ANUSVARA..BENGALI SIGN VISARGA
09BE          ; Right # Mc       BENGALI VOWEL SIGN AA
09C0          ; Right # Mc       BENGALI VOWEL SIGN II
09D7          ; Right # Mc       BENGALI AU LENGTH MARK
0A03          ; Right # Mc       GURMUKHI SIGN VISARGA
0A3E          ; Right # Mc       GURMUKHI VOWEL SIGN AA
0A40          ; Right # Mc       GURMUKHI VOWEL SIGN II
0A83          ; Right # Mc       GUJARATI SIGN VISARGA
0ABE          ; Right # Mc       GUJARATI VOWEL SIGN AA
0AC0          ; Right # Mc       GUJARATI VOWEL SIGN II
0ACB..0ACC    ; Right # Mc   [2] GUJARATI VOWEL SIGN O..GUJARATI VOWEL SIGN AU
0B02..0B03    ; Right # Mc   [2] ORIYA SIGN ANUSVARA..ORIYA SIGN VISARGA
0B3E          ; Right # Mc       ORIYA VOWEL SIGN AA
0B40          ; Right # Mc       ORIYA VOWEL SIGN II
0BBE..0BBF    ; Right # Mc   [2] TAMIL VOWEL SIGN AA..TAMIL VOWEL SIGN I
0BC1..0BC2    ; Right # Mc   [2] TAMIL VOWEL SIGN U..TAMIL VOWEL SIGN UU
0BD7          ; Right # Mc       TAMIL AU LENGTH MARK
0C01..0C03    ; Right # Mc   [3] TELUGU SIGN CANDRABINDU..TELUGU SIGN VISARGA
0C41..0C44    ; Right # Mc   [4] TELUGU VOWEL SIGN U..TELUGU VOWEL SIGN VOCALIC RR
0C82..0C83    ; Right # Mc   [2] KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CBE          ; Right # Mc       KANNADA VOWEL SIGN AA
0CC1..0CC4    ; Right # Mc   [4] KANNADA VOWEL SIGN U..KANNADA VOWEL SIGN VOCALIC RR
0CD5..0CD6    ; Right # Mc   [2] KANNADA LENGTH MARK..KANNADA AI LENGTH MARK
0CF3          ; Right # Mc       KANNADA SIGN COMBINING ANUSVARA ABOVE RIGHT
0D02..0D03    ; Right # Mc   [2] MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D3E..0D40    ; Right # Mc   [3] MALAYALAM VOWEL SIGN AA..MALAYALAM VOWEL SIGN II
0D57          ; Right # Mc       MALAYALAM AU LENGTH MARK
0D82..0D83    ; Right # Mc   [2] SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA
0DCF..0DD1    ; Right # Mc   [3] SINHALA VOWEL SIGN AELA-PILLA..SINHALA VOWEL SIGN DIGA AEDA-PILLA
0DD8          ; Right # Mc       SINHALA VOWEL SIGN GAETTA-PILLA
0DDF          ; Right # Mc       SINHALA VOWEL SIGN GAYANUKITTA
0DF2..0DF3    ; Right # Mc   [2] SINHALA VOWEL SIGN DIGA GAETTA-PILLA..SINHALA VOWEL SIGN DIGA GAYANUKITTA
0E30          ; Right # Lo       THAI CHARACTER SARA A
0E32..0E33    ; Right # Lo   [2] THAI CHARACTER SARA AA..THAI CHARACTER SARA AM
0E45          ; Right # Lo       THAI CHARACTER LAKKHANGYAO
0EB0          ; Right # Lo       LAO VOWEL SIGN A
0EB2..0EB3    ; Right # Lo   [2] LAO VOWEL SIGN AA..LAO VOWEL SIGN AM
0F3E          ; Right # Mc       TIBETAN SIGN YAR TSHES
0F7F          ; Right # Mc       TIBETAN SIGN RNAM BCAD
102B..102C    ; Right # Mc   [2] MYANMAR VOWEL SIGN TALL AA..MYANMAR VOWEL SIGN AA
1038          ; Right # Mc       MYANMAR SIGN VISARGA
103B          ; Right # Mc       MYANMAR CONSONANT SIGN MEDIAL YA
1056..1057    ; Right # Mc   [2] MYANMAR VOWEL SIGN VOCALIC R..MYANMAR VOWEL SIGN VOCALIC RR
1062..1064    ; Right # Mc   [3] MYANMAR VOWEL SIGN SGAW KAREN EU..MYANMAR TONE MARK SGAW KAREN KE PHO
1067..106D    ; Right # Mc   [7] MYANMAR VOWEL SIGN WESTERN PWO KAREN EU..MYANMAR SIGN WESTERN PWO KAREN TONE-5
1083          ; Right # Mc       MYANMAR VOWEL SIGN SHAN AA
1087..108C    ; Right # Mc   [6] MYANMAR SIGN SHAN TONE-2..MYANMAR SIGN SHAN COUNCIL TONE-3
108F          ; Right # Mc       MYANMAR SIGN RUMAI PALAUNG TONE-5
109A..109C    ; Right # Mc   [3] MYANMAR SIGN KHAMTI TONE-1..MYANMAR VOWEL SIGN AITON A
1715          ; Right # Mc       TAGALOG SIGN PAMUDPOD
1734          ; Right # Mc       HANUNOO SIGN PAMUDPOD
17B6          ; Right # Mc       KHMER VOWEL SIGN AA
